number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_criterion,params_max_depth,params_max_features,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,state
54,0.3350137951325148,2026-06-13 23:12:53.139508,2026-06-13 23:12:54.608519,0 days 00:00:01.469011,0.000434408369796203,entropy,14,0.9633708814396399,0.0015183746000618475,20,17,COMPLETE
55,0.37064926313702096,2026-06-13 23:12:54.609511,2026-06-13 23:12:56.345177,0 days 00:00:01.735666,0.0002136620669217283,entropy,14,0.9291589249380915,0.0003864377319320538,17,16,COMPLETE
56,0.3541333867309926,2026-06-13 23:12:56.348013,2026-06-13 23:12:57.901460,0 days 00:00:01.553447,0.0006988374012846703,entropy,14,0.9970045879480535,0.0009231218666244541,19,18,COMPLETE
57,0.35654039222743594,2026-06-13 23:12:57.901843,2026-06-13 23:12:59.219978,0 days 00:00:01.318135,0.00022592678105769619,gini,13,0.9218214198692584,0.00035285711762650883,17,15,COMPLETE
58,0.3183702565850791,2026-06-13 23:12:59.220705,2026-06-13 23:13:00.503095,0 days 00:00:01.282390,0.00048107785886639565,entropy,11,0.9638740759459314,0.0024442326848076457,13,17,COMPLETE
59,0.34294294324282104,2026-06-13 23:13:00.503470,2026-06-13 23:13:01.965811,0 days 00:00:01.462341,0.00028640372126242133,entropy,14,0.8668010767872927,0.0011212407864870366,18,16,COMPLETE
60,0.3207460112764836,2026-06-13 23:13:01.966396,2026-06-13 23:13:03.304384,0 days 00:00:01.337988,0.001196980368382998,entropy,13,0.9290698423760408,0.0019975636769545514,17,19,COMPLETE
61,0.3733166711051027,2026-06-13 23:13:03.304825,2026-06-13 23:13:05.113466,0 days 00:00:01.808641,0.00014394280848307317,entropy,14,0.9599275799176903,0.0003219893492287003,13,16,COMPLETE
62,0.3738006122368161,2026-06-13 23:13:05.114156,2026-06-13 23:13:06.936667,0 days 00:00:01.822511,0.00017137068231547355,entropy,15,0.9733357595904167,0.00031023032537857704,19,15,COMPLETE
63,0.3603005923886536,2026-06-13 23:13:06.937133,2026-06-13 23:13:08.615280,0 days 00:00:01.678147,0.00019160961621298816,entropy,15,0.9796229204379565,0.0007251665071238345,19,15,COMPLETE
64,0.3568074039447676,2026-06-13 23:13:08.616014,2026-06-13 23:13:10.411428,0 days 00:00:01.795414,0.0007426755869669138,entropy,13,0.9494749023804125,0.0003062042069397146,19,16,COMPLETE
65,0.3366658113530486,2026-06-13 23:13:10.412089,2026-06-13 23:13:11.856247,0 days 00:00:01.444158,0.0005476571792989438,entropy,14,0.9158826166414418,0.001338677913014614,16,17,COMPLETE
66,0.3601771325819748,2026-06-13 23:13:11.856916,2026-06-13 23:13:13.661614,0 days 00:00:01.804698,0.00015627631245310493,entropy,15,0.9617186043649516,0.0006788127695818182,12,15,COMPLETE
67,0.34836760653079535,2026-06-13 23:13:13.662066,2026-06-13 23:13:15.470249,0 days 00:00:01.808183,0.000884408999674987,entropy,14,0.8759377021585616,0.00020916967106191374,9,18,COMPLETE
68,0.33484588675031934,2026-06-13 23:13:15.470685,2026-06-13 23:13:16.950461,0 days 00:00:01.479776,0.0003988944213287553,entropy,13,0.9794021275278725,0.0016647121565593987,18,14,COMPLETE
69,0.31255135594983013,2026-06-13 23:13:16.951486,2026-06-13 23:13:18.074279,0 days 00:00:01.122793,0.00013810340526672154,gini,15,0.9399255793025819,0.0010850928965061286,15,3,COMPLETE
70,0.3575667922380352,2026-06-13 23:13:18.074759,2026-06-13 23:13:19.609758,0 days 00:00:01.534999,0.0003419213109174602,entropy,12,0.9083478661752689,0.0007623170907854802,20,12,COMPLETE
71,0.3607684545070017,2026-06-13 23:13:19.610813,2026-06-13 23:13:21.492203,0 days 00:00:01.881390,0.0006482782434433221,entropy,14,0.9938410191566525,0.00023402447085481737,18,16,COMPLETE
72,0.36344737050736364,2026-06-13 23:13:21.492919,2026-06-13 23:13:23.052695,0 days 00:00:01.559776,0.0001365024748493233,entropy,15,0.8388475126260605,0.0004498353535740356,17,15,COMPLETE
73,0.3680974752193028,2026-06-13 23:13:23.055596,2026-06-13 23:13:25.175230,0 days 00:00:02.119634,0.00042372967382956693,entropy,11,0.952834714347875,6.735689066346976e-05,20,16,COMPLETE
74,0.3565538500209765,2026-06-13 23:13:25.175925,2026-06-13 23:13:26.546380,0 days 00:00:01.370455,0.00011607030912066215,entropy,13,0.8071716591633509,0.0006683372091512824,19,14,COMPLETE
75,0.3330232203204881,2026-06-13 23:13:26.547249,2026-06-13 23:13:27.977207,0 days 00:00:01.429958,0.00029998827344179606,entropy,11,0.8846736017100985,0.0012967969750847287,12,17,COMPLETE
