number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_bin,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
27,0.42309916948538484,2026-06-14 11:47:18.233014,2026-06-14 11:47:22.770102,0 days 00:00:04.537088,0.6374330377485952,2.3051187042729366,0.061101581675437756,128,8.206059151337445,6,1.035425746768189,700,0.0010616472062554268,0.3522563416881507,0.9296441990641778,COMPLETE
28,0.4221772956866669,2026-06-14 11:47:22.770608,2026-06-14 11:47:27.478215,0 days 00:00:04.707607,0.6284808590889243,2.7347288946936787,0.0291855783223592,64,7.083395752576666,7,5.706184488654199,400,0.009546820327359188,1.4614093830536041,0.9687049992388872,COMPLETE
29,0.4208353001565122,2026-06-14 11:47:27.478742,2026-06-14 11:47:30.432573,0 days 00:00:02.953831,0.7349717236020668,4.851562278761216,0.023954530605607385,128,8.346362298670114,9,1.4527140335886277,100,0.02245165199842771,0.5267192963566567,0.8842907926846842,COMPLETE
30,0.4152886534391921,2026-06-14 11:47:30.433092,2026-06-14 11:47:33.217736,0 days 00:00:02.784644,0.6579227788357159,2.0472670647314977,0.00967533909762998,256,5.902731270849757,4,1.094522928664522,250,0.0022825129060604966,3.2374884654964733,0.674487981394231,COMPLETE
31,0.42289916506841785,2026-06-14 11:47:33.218247,2026-06-14 11:47:37.873617,0 days 00:00:04.655370,0.6363875337521678,2.2488126704379128,0.06505298786648035,128,8.269184686965747,6,1.017243535605618,750,0.001042167787312231,0.35755737130689225,0.9235158373145758,COMPLETE
32,0.423738271519832,2026-06-14 11:47:37.874131,2026-06-14 11:47:42.445290,0 days 00:00:04.571159,0.6501109385779853,2.6236598110167577,0.04641948928130904,128,7.40391602316718,6,1.94050379911213,650,0.0028220490937945516,0.6689576309160601,0.9322625407979142,COMPLETE
33,0.4142876635268055,2026-06-14 11:47:42.445853,2026-06-14 11:47:46.685932,0 days 00:00:04.240079,0.7927437634691412,3.3021642943726235,0.006962928174874311,128,7.100982966732513,3,1.4801435494516848,550,0.004291882301723126,1.043817763191011,0.9461284647291464,COMPLETE
34,0.4233328148907643,2026-06-14 11:47:46.686490,2026-06-14 11:47:51.441630,0 days 00:00:04.755140,0.7265017680450279,2.64243869532398,0.03215967908741835,128,9.553889005383851,5,1.748813663285236,650,0.007189310923540666,2.5017919307848824,0.9733869633457615,COMPLETE
35,0.4228196166593257,2026-06-14 11:47:51.442191,2026-06-14 11:47:56.034825,0 days 00:00:04.592634,0.7666938106486361,2.7387065487785702,0.03389153226411264,128,9.942652578540367,5,1.6756295404678345,650,0.002465293443179358,8.893268471873812,0.9791351554498514,COMPLETE
36,0.39524960856849845,2026-06-14 11:47:56.035354,2026-06-14 11:48:01.002625,0 days 00:00:04.967271,0.7231474961639708,3.2742575507339753,0.0010195508287062487,128,9.3536754325035,3,2.0766739834883374,650,0.016784388918560912,0.8115538047785407,0.9391412697943515,COMPLETE
37,0.42275662239241607,2026-06-14 11:48:01.003142,2026-06-14 11:48:05.917200,0 days 00:00:04.914058,0.8091430953163281,4.05890739737995,0.051870132045174606,128,7.51702228754178,5,3.288734870961862,900,0.009352661125740314,0.0044599361251934965,0.9076033322113952,COMPLETE
38,0.42228282503854897,2026-06-14 11:48:05.917698,2026-06-14 11:48:09.323932,0 days 00:00:03.406234,0.8303747485745804,2.9311562244246843,0.09865991389431247,512,9.269812041381053,5,2.0306048531158587,550,0.0035362296545766022,0.0013619470613827525,0.9820451151579281,COMPLETE
39,0.42288637836183673,2026-06-14 11:48:09.324483,2026-06-14 11:48:13.288490,0 days 00:00:03.964007,0.7180859295272395,3.6511969460880547,0.13604195666398128,128,5.984648020201903,4,1.342903542775264,800,0.027461621476311454,0.04574537876608344,0.8673917157203844,COMPLETE
