[2026-07-12 19:37:58] [Ensayo] A new study created in memory with name: xgb_optimization
[2026-07-12 19:41:01] [Ensayo] Trial 28 finished with value: 0.43208474180039624 and parameters: {'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.020280520652698687, 'gamma': 2.246795499352994, 'reg_lambda': 0.1340147207574783, 'reg_alpha': 0.0019530283974161222, 'subsample': 0.8568898345409214, 'colsample_bytree': 0.9639276837740285, 'min_child_weight': 13.443788079486, 'max_delta_step': 1.8605546390039032, 'max_bin': 32}. Best is trial 22 with value: 0.43483862906339094.
[2026-07-12 19:41:11] [Ensayo] Trial 29 finished with value: 0.43438058975112465 and parameters: {'n_estimators': 700, 'max_depth': 6, 'learning_rate': 0.013572822254415055, 'gamma': 1.297903447205252, 'reg_lambda': 0.024517589253668183, 'reg_alpha': 0.007022672797450737, 'subsample': 0.820278858161636, 'colsample_bytree': 0.9002202034800946, 'min_child_weight': 9.920498351337608, 'max_delta_step': 1.0376196306782932, 'max_bin': 256}. Best is trial 22 with value: 0.43483862906339094.
[2026-07-12 19:41:22] [Ensayo] Trial 30 finished with value: 0.43603841185307807 and parameters: {'n_estimators': 750, 'max_depth': 6, 'learning_rate': 0.014159006203052382, 'gamma': 0.007994348796093384, 'reg_lambda': 0.026847290431382027, 'reg_alpha': 0.02855529568058124, 'subsample': 0.8292052672456509, 'colsample_bytree': 0.9091251991358362, 'min_child_weight': 9.045672794055257, 'max_delta_step': 1.091328924775113, 'max_bin': 256}. Best is trial 30 with value: 0.43603841185307807.
[2026-07-12 19:41:33] [Ensayo] Trial 31 finished with value: 0.4351340455560876 and parameters: {'n_estimators': 700, 'max_depth': 6, 'learning_rate': 0.009937983562915233, 'gamma': 0.4518060072929594, 'reg_lambda': 0.026914070835955515, 'reg_alpha': 0.03511228717688702, 'subsample': 0.8289924574811771, 'colsample_bytree': 0.9021226615780596, 'min_child_weight': 8.699004695696793, 'max_delta_step': 0.9955514282058662, 'max_bin': 256}. Best is trial 30 with value: 0.43603841185307807.
[2026-07-12 19:41:44] [Ensayo] Trial 32 finished with value: 0.43519507649006134 and parameters: {'n_estimators': 700, 'max_depth': 6, 'learning_rate': 0.010301270836814895, 'gamma': 0.018181138841496747, 'reg_lambda': 0.006830863470936167, 'reg_alpha': 0.22678432704791876, 'subsample': 0.8146573946002146, 'colsample_bytree': 0.9032587050682916, 'min_child_weight': 8.931763394815787, 'max_delta_step': 1.277642702494932, 'max_bin': 256}. Best is trial 30 with value: 0.43603841185307807.
[2026-07-12 19:41:57] [Ensayo] Trial 33 finished with value: 0.43319174837404484 and parameters: {'n_estimators': 750, 'max_depth': 6, 'learning_rate': 0.0063892987512396025, 'gamma': 0.08922655862011472, 'reg_lambda': 0.005818733902960001, 'reg_alpha': 0.2683281415185651, 'subsample': 0.7756310769117307, 'colsample_bytree': 0.8615887013608041, 'min_child_weight': 5.6553134473572975, 'max_delta_step': 1.4271239644335345, 'max_bin': 256}. Best is trial 30 with value: 0.43603841185307807.
[2026-07-12 19:42:08] [Ensayo] Trial 34 finished with value: 0.42339068934459945 and parameters: {'n_estimators': 850, 'max_depth': 5, 'learning_rate': 0.002816709676621611, 'gamma': 0.4784618540888578, 'reg_lambda': 0.006999683701041792, 'reg_alpha': 1.1286849609835787, 'subsample': 0.7458158841988575, 'colsample_bytree': 0.9041654862661435, 'min_child_weight': 4.092185854760263, 'max_delta_step': 1.001986340068193, 'max_bin': 256}. Best is trial 30 with value: 0.43603841185307807.
[2026-07-12 19:42:25] [Ensayo] Trial 35 finished with value: 0.43502262810693065 and parameters: {'n_estimators': 750, 'max_depth': 7, 'learning_rate': 0.008898663592793635, 'gamma': 0.02280937856074771, 'reg_lambda': 0.0019689593317524265, 'reg_alpha': 0.12208831272071125, 'subsample': 0.7962162908317545, 'colsample_bytree': 0.8573243899731307, 'min_child_weight': 2.037012207365805, 'max_delta_step': 1.9161968612398113, 'max_bin': 256}. Best is trial 30 with value: 0.43603841185307807.
[2026-07-12 19:42:40] [Ensayo] Trial 36 finished with value: 0.43487496833432865 and parameters: {'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.010225217250954632, 'gamma': 0.595189719230638, 'reg_lambda': 0.0021070867514586165, 'reg_alpha': 0.18213205307760078, 'subsample': 0.8025243379984333, 'colsample_bytree': 0.8165375165813739, 'min_child_weight': 1.046703815849336, 'max_delta_step': 1.9108945955015626, 'max_bin': 128}. Best is trial 30 with value: 0.43603841185307807.
[2026-07-12 19:42:49] [Ensayo] Trial 37 finished with value: 0.4023806231419472 and parameters: {'n_estimators': 700, 'max_depth': 4, 'learning_rate': 0.0011996228624248603, 'gamma': 0.31050128979679814, 'reg_lambda': 0.0010999043555171336, 'reg_alpha': 0.09794728920880899, 'subsample': 0.8300019377007352, 'colsample_bytree': 0.8594232136024851, 'min_child_weight': 2.5147838416576223, 'max_delta_step': 0.7693938465733137, 'max_bin': 512}. Best is trial 30 with value: 0.43603841185307807.
[2026-07-12 19:43:02] [Ensayo] Trial 38 finished with value: 0.42646103734041196 and parameters: {'n_estimators': 800, 'max_depth': 6, 'learning_rate': 0.002562833165421969, 'gamma': 0.2627679077501439, 'reg_lambda': 0.010229552180501294, 'reg_alpha': 0.05080761784927948, 'subsample': 0.7399026390718045, 'colsample_bytree': 0.8953704923443798, 'min_child_weight': 7.04454377815535, 'max_delta_step': 3.2920577433149765, 'max_bin': 64}. Best is trial 30 with value: 0.43603841185307807.
[2026-07-12 19:43:15] [Ensayo] Trial 39 finished with value: 0.43561976226415133 and parameters: {'n_estimators': 900, 'max_depth': 7, 'learning_rate': 0.011354124077472293, 'gamma': 0.68901453610636, 'reg_lambda': 0.0017315121613095852, 'reg_alpha': 0.4834071355559164, 'subsample': 0.7000748434083658, 'colsample_bytree': 0.7815614856857975, 'min_child_weight': 15.261082723696516, 'max_delta_step': 1.3602234474941983, 'max_bin': 32}. Best is trial 30 with value: 0.43603841185307807.
[2026-07-12 19:43:24] [Ensayo] Trial 40 finished with value: 0.43102264581803523 and parameters: {'n_estimators': 900, 'max_depth': 7, 'learning_rate': 0.016973938075497977, 'gamma': 3.6873667776784353, 'reg_lambda': 0.004612940216663927, 'reg_alpha': 1.0542797179880716, 'subsample': 0.6843302919960326, 'colsample_bytree': 0.7672983465764693, 'min_child_weight': 15.11192505895101, 'max_delta_step': 1.2454996422057754, 'max_bin': 32}. Best is trial 30 with value: 0.43603841185307807.
[2026-07-12 19:43:39] [Ensayo] Trial 41 finished with value: 0.43523516047310257 and parameters: {'n_estimators': 800, 'max_depth': 7, 'learning_rate': 0.00813104529006663, 'gamma': 0.6623419158755337, 'reg_lambda': 0.0019413918099454443, 'reg_alpha': 0.35053010298118, 'subsample': 0.7120894184799147, 'colsample_bytree': 0.8330461218695322, 'min_child_weight': 9.708586766496879, 'max_delta_step': 1.9851248354623554, 'max_bin': 32}. Best is trial 30 with value: 0.43603841185307807.
[2026-07-12 19:43:51] [Ensayo] Trial 42 finished with value: 0.43374764525434817 and parameters: {'n_estimators': 850, 'max_depth': 6, 'learning_rate': 0.007119144697841307, 'gamma': 0.6701152868048489, 'reg_lambda': 0.00331910643129801, 'reg_alpha': 0.3662739905782377, 'subsample': 0.6981789150782143, 'colsample_bytree': 0.788070070165102, 'min_child_weight': 10.171295360098638, 'max_delta_step': 0.7078914553230182, 'max_bin': 32}. Best is trial 30 with value: 0.43603841185307807.
[2026-07-12 19:44:02] [Ensayo] Trial 43 finished with value: 0.43618101551325716 and parameters: {'n_estimators': 950, 'max_depth': 5, 'learning_rate': 0.013915459846145008, 'gamma': 0.36141461510862744, 'reg_lambda': 0.0012709964724971624, 'reg_alpha': 0.933777604780342, 'subsample': 0.6495574918471759, 'colsample_bytree': 0.8202688688815819, 'min_child_weight': 7.353287700778593, 'max_delta_step': 2.1273481594779873, 'max_bin': 32}. Best is trial 43 with value: 0.43618101551325716.
[2026-07-12 19:44:14] [Ensayo] Trial 44 finished with value: 0.4298481699747102 and parameters: {'n_estimators': 1000, 'max_depth': 5, 'learning_rate': 0.0041174129075916815, 'gamma': 1.005610926863769, 'reg_lambda': 0.0013958878006462394, 'reg_alpha': 0.7626420608355045, 'subsample': 0.6451016890159317, 'colsample_bytree': 0.7291062716874128, 'min_child_weight': 6.888624397246573, 'max_delta_step': 3.1486617218110773, 'max_bin': 32}. Best is trial 43 with value: 0.43618101551325716.
[2026-07-12 19:44:25] [Ensayo] Trial 45 finished with value: 0.4341307163999312 and parameters: {'n_estimators': 950, 'max_depth': 4, 'learning_rate': 0.013672801165238765, 'gamma': 0.6652503384606526, 'reg_lambda': 0.0016105910609518876, 'reg_alpha': 1.7713268106853695, 'subsample': 0.6547345139621524, 'colsample_bytree': 0.8178733667637308, 'min_child_weight': 16.38082743785051, 'max_delta_step': 2.148247406260526, 'max_bin': 32}. Best is trial 43 with value: 0.43618101551325716.
[2026-07-12 19:44:33] [Ensayo] Trial 46 finished with value: 0.42899685716414904 and parameters: {'n_estimators': 900, 'max_depth': 7, 'learning_rate': 0.025010892666505878, 'gamma': 4.921154981535217, 'reg_lambda': 0.0031537823703217745, 'reg_alpha': 6.092959030413065, 'subsample': 0.7142678405288975, 'colsample_bytree': 0.7554062829622894, 'min_child_weight': 4.695301207274696, 'max_delta_step': 1.4063861005087446, 'max_bin': 32}. Best is trial 43 with value: 0.43618101551325716.
[2026-07-12 19:44:41] [Ensayo] Trial 47 finished with value: 0.42061921192934665 and parameters: {'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.005048797601227225, 'gamma': 0.2780825666200571, 'reg_lambda': 0.00812317317060718, 'reg_alpha': 0.508444494981521, 'subsample': 0.6201362873297813, 'colsample_bytree': 0.8240289094421022, 'min_child_weight': 10.331244246504989, 'max_delta_step': 2.8338390690079773, 'max_bin': 32}. Best is trial 43 with value: 0.43618101551325716.
[2026-07-12 19:44:52] [Ensayo] Trial 48 finished with value: 0.4332945401982792 and parameters: {'n_estimators': 950, 'max_depth': 5, 'learning_rate': 0.007306961918982066, 'gamma': 0.955548021578783, 'reg_lambda': 0.015405048191937295, 'reg_alpha': 0.2526802393124224, 'subsample': 0.7112282623984861, 'colsample_bytree': 0.697594651183584, 'min_child_weight': 13.843280262654588, 'max_delta_step': 2.188609375718667, 'max_bin': 32}. Best is trial 43 with value: 0.43618101551325716.
[2026-07-12 19:45:05] [Ensayo] Trial 49 finished with value: 0.4358248961790367 and parameters: {'n_estimators': 850, 'max_depth': 7, 'learning_rate': 0.01516961983322824, 'gamma': 0.30175241578632456, 'reg_lambda': 0.0010889995131419087, 'reg_alpha': 1.8856621987655642, 'subsample': 0.7549690402795548, 'colsample_bytree': 0.7980871489305934, 'min_child_weight': 23.22097852282746, 'max_delta_step': 0.5695243862367787, 'max_bin': 32}. Best is trial 43 with value: 0.43618101551325716.
[2026-07-12 19:45:18] [Ensayo] Trial 50 finished with value: 0.4358684202527172 and parameters: {'n_estimators': 900, 'max_depth': 7, 'learning_rate': 0.018924134828011543, 'gamma': 0.2904399365708008, 'reg_lambda': 0.0010830090666302673, 'reg_alpha': 1.7542617646160081, 'subsample': 0.7472817181628112, 'colsample_bytree': 0.7883296967556827, 'min_child_weight': 23.46485108434088, 'max_delta_step': 0.6083788479760691, 'max_bin': 32}. Best is trial 43 with value: 0.43618101551325716.
[2026-07-12 19:45:31] [Ensayo] Trial 51 finished with value: 0.4360305154202342 and parameters: {'n_estimators': 900, 'max_depth': 7, 'learning_rate': 0.02057490004989828, 'gamma': 0.2972354105531051, 'reg_lambda': 0.0010168392131958465, 'reg_alpha': 1.886530183495338, 'subsample': 0.7388485844314975, 'colsample_bytree': 0.7875704277574662, 'min_child_weight': 23.427959294748693, 'max_delta_step': 0.5566208632558525, 'max_bin': 32}. Best is trial 43 with value: 0.43618101551325716.
[2026-07-12 19:45:43] [Ensayo] Trial 52 finished with value: 0.43588317583183633 and parameters: {'n_estimators': 900, 'max_depth': 7, 'learning_rate': 0.020279335890507743, 'gamma': 0.29231298639793196, 'reg_lambda': 0.0012297851335767225, 'reg_alpha': 2.148603875071567, 'subsample': 0.7561418635254453, 'colsample_bytree': 0.7886276005557183, 'min_child_weight': 16.62458473068156, 'max_delta_step': 0.5638797536780225, 'max_bin': 32}. Best is trial 43 with value: 0.43618101551325716.
